Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
dextrometorfano,A,,Sistema respiratorio,Antitusivos,,dextrometorfano
dextromoramida,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,dextromoramida
dextropropoxifeno,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,dextropropoxifeno
diazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,diazepam
diazóxido,do,Este medicamento puede causar bradicardia fetal. Se ha observado hiperglucemia en recién nacidos. El diazóxido es un potente relajante del músculo liso uterino y puede inhibir la contracción uterina si se administra durante el parto. El diazóxido debe usarse con extrema precaución durante el embarazo.,Sistema cardiovascular,Antihipertensivos,,diazoxido
diclofenaco,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,diclofenaco
dicloxacilina,B2,,Antimicrobianos,Antibióticos,penicilinas,dicloxacilina
clorhidrato de diciclomina,B1,,Sistema alimentario,Laxantes,,clorhidrato de diciclomina
didanosina,B2,,Antimicrobianos,agentes antivirales,,didanosina
dienoestrol,incógnita,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,dienoestrol
dienogest con etinilestradiol,B3,,Agentes anticonceptivos,Anticonceptivos orales,,dienogest con etinilestradiol
dienosliterol,B1,,Sistema genitourinario,Medicación vaginal tópica,,dienosliterol
dietilcarbamazina,B2,,Antimicrobianos,Antihelmínticos,,dietilcarbamazina
dietilpropión,B2,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,,dietilpropion
 difelikefalina,B1,,Alergia y sistema inmunológico,Inmunomodificadores,, difelikefalina
diflunisal,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,diflunisal
digoxina y otros glucósidos cardíacos,A,,Sistema cardiovascular,Agentes inotrópicos cardíacos,,digoxina y otros glucosidos cardiacos
digoxina inmunológica,B2,," Agentes desintoxicantes, antídotos",,,digoxina inmunologica
Fragmento de anticuerpo específico de digoxina F(Ab) (ovino),B2,," Agentes desintoxicantes, antídotos",,,Fragmento de anticuerpo especifico de digoxina F(Ab) (ovino)
dihidrocodeína,A,El uso prolongado de dosis altas de codeína antes del parto puede producir síntomas de abstinencia de codeína en el neonato.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,dihidrocodeina
dihidrocodeína,A,,Sistema respiratorio,Antitusivos,,dihidrocodeina
dihidroergotamina,do,"Las dosis orales estándar para la migraña durante la primera mitad del embarazo no parecen representar riesgos para el feto. La ergotamina induce la contracción uterina y, por lo tanto, puede causar parto prematuro o hipertonía. Dosis mayores o un uso más frecuente pueden poner en riesgo al feto debido a la posibilidad de obstaculizar el riego sanguíneo fetal.",Sistema cardiovascular,Preparaciones antimigrañosas,,dihidroergotamina
dihidrotaquisterol,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,,dihidrotaquisterol
diltiazem,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,diltiazem
dimenhidrinato,A,,Sistema nervioso central,"Antieméticos, antinauseosos",,dimenhidrinato
fumarato de dimetilo,B1,,Alergia y sistema inmunológico,Inmunomodificadores,,fumarato de dimetilo
dinoprost,do,,Sistema genitourinario,Agentes que actúan sobre el útero,,dinoprost
dinoprostona (prostaglandina E2),do,Se han dado casos de sensibilidad idiosincrásica del útero que provocaron anoxia fetal.,Sistema genitourinario,Agentes que actúan sobre el útero,,dinoprostona (prostaglandina E2)
dinutuximab beta,do," Basándose en su mecanismo de acción, dinutuximab beta tiene el potencial de afectar el desarrollo embriofetal y causar daño fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,dinutuximab beta
difenhidramina,A,,Alergia y sistema inmunológico,Antihistamínicos,,difenhidramina
difenhidramina,A,,Sistema nervioso central,"Antieméticos, antinauseosos",,difenhidramina
difenoxilato,do,Este medicamento está químicamente relacionado con el analgésico narcótico petidina. Los analgésicos narcóticos pueden causar depresión respiratoria en el recién nacido. Este medicamento no debe administrarse a término ni cerca del término.,Sistema alimentario,Antidiarreicos,,difenoxilato
difenilamina,A,,Alergia y sistema inmunológico,Antihistamínicos,,difenilamina
difenilpiralina,B2,,Alergia y sistema inmunológico,Antihistamínicos,,difenilpiralina
vacuna contra la difteria y el tétanos,A,,Vacunas,Vacunas de subunidades,vacunas toxoides,vacuna contra la difteria y el tetanos
"vacuna contra la difteria, el tétanos y la tos ferina",A,,Vacunas,vacunas toxoides,,"vacuna contra la difteria, el tetanos y la tos ferina"
" vacuna conjugada antidiftérica, antitetánica, antitos ferina, antihepatitis B, antipoliomielítica inactivada y antihaemophilus influenzae tipo b",B2,,Vacunas,Vacunas muertas,," vacuna conjugada antidifterica, antitetanica, antitos ferina, antihepatitis B, antipoliomielitica inactivada y antihaemophilus influenzae tipo b"
" vacuna contra la difteria, el tétanos, la tos ferina, la hepatitis B, la poliomielitis inactivada y Haemophilus influenzae tipo b",B1 o B2 (dependiendo de la marca de la vacuna),,Vacunas,Vacunas muertas,," vacuna contra la difteria, el tetanos, la tos ferina, la hepatitis B, la poliomielitis inactivada y Haemophilus influenzae tipo b"
"vacuna antipoliomielítica inactivada contra la difteria, el tétanos, la tos ferina y la tos ferina",A,,Vacunas,Vacunas muertas,,"vacuna antipoliomielitica inactivada contra la difteria, el tetanos, la tos ferina y la tos ferina"
dipivefrina,B2,,Medicamentos oftálmicos,,,dipivefrina
dipiridamol,B1,,Sistema cardiovascular,Vasodilatadores,,dipiridamol
fumarato de diroximel,B3,,Alergia y sistema inmunológico,Inmunomodificadores,,fumarato de diroximel
disopiramida,B2,,Sistema cardiovascular,Antiarrítmicos,,disopiramida
disulfiram,B2,,Agentes utilizados en estados de dependencia,,,disulfiram
ditranol,B2,,Medicamentos utilizados en Dermatología,Actual,,ditranol
dobutamina,B2,,Sistema cardiovascular,estimulantes adrenérgicos,,dobutamina
docetaxel,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,,docetaxel
docusato de sodio,A,,Sistema alimentario,Laxantes,,docusato de sodio
dofetilida,D,Se ha demostrado que este medicamento causa muerte y anomalías fetales cuando se administra a animales durante la gestación.,Sistema cardiovascular,Antiarrítmicos,,dofetilida
dolasetrón,B1,,Sistema nervioso central,"Antieméticos, antinauseosos",,dolasetron
dolutegravir,B1,,Antimicrobianos,agentes antivirales,,dolutegravir
dolutegravir / abacavir / lamivudina,B3,,Antimicrobianos,agentes antivirales,,dolutegravir / abacavir / lamivudina
domperidona,B2,,Sistema nervioso central,"Antieméticos, antinauseosos",,domperidona
donepezil,B3,,Agentes colinérgicos y anticolinérgicos,,,donepezil
dopamina,B3,,Sistema cardiovascular,estimulantes adrenérgicos,,dopamina
 doripenem,B2,,Antimicrobianos,Antibióticos,, doripenem
dornasa alfa,B1,,Sistema respiratorio,,,dornasa alfa
dorzolamida,B3,,Medicamentos oftálmicos,,,dorzolamida
dorzolamida/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,,dorzolamida/timolol
dostarlimab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,dostarlimab
dosulepina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos,dosulepina
dotiepina (dosulepina),do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos,dotiepina (dosulepina)
doxazosina,B3,,Sistema cardiovascular,Antihipertensivos,,doxazosina
doxepina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos,doxepina
doxorrubicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,doxorrubicina
doxiciclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas,doxiciclina
doxiciclina (antipalúdico),D,"Las tetraciclinas son seguras durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), tras lo cual causan decoloración de los dientes del bebé. El uso de este fármaco en el tratamiento de la malaria está aceptado porque el pequeño riesgo para el feto se ve compensado por los beneficios para la madre y el feto. La profilaxis en situaciones de alto riesgo también está justificada.",Antimicrobianos,Antipalúdicos,,doxiciclina (antipaludico)
doxilamina,A,,Alergia y sistema inmunológico,Antihistamínicos,,doxilamina
dronedarona,D,,Sistema cardiovascular,Antiarrítmicos,,dronedarona
droperidol,do,"Cuando se administran en dosis altas al final del embarazo, las butirofenonas pueden provocar trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,Butirofenonas,droperidol
drospirenona con etinilestradiol,B3,,Agentes anticonceptivos,Anticonceptivos orales,,drospirenona con etinilestradiol
drotrecogina alfa,do,,Sistema cardiovascular,Agentes hemostáticos,,drotrecogina alfa
dulaglutida,B3,,Sistema endocrino,agentes hipoglucemiantes,,dulaglutida
duloxetina,B3,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS),duloxetina
dupilumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,,dupilumab
durvalumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,durvalumab
dutasterida,incógnita,La dutasterida puede provocar anomalías en los genitales externos de un feto masculino.,Sistema genitourinario,Hiperplasia de próstata,,dutasterida
didrogesterona con estradiol,B3,,Sistema endocrino,Progestágenos (ver también anticonceptivos orales),,didrogesterona con estradiol
econazol,A,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",,econazol
econazol,A,,Sistema genitourinario,Medicación vaginal tópica,,econazol
ecotiopato,B2,,Medicamentos oftálmicos,,,ecotiopato
eculizumab,B2,,Alergia y sistema inmunológico,Inmunomodificadores,,eculizumab
edaravona,B3,,Sistema nervioso central,,,edaravona
efalizumab,do,,Alergia y sistema inmunológico,Inmunomodificadores,,efalizumab
efavirenz,D,"Este medicamento puede causar daño fetal si se administra durante el primer trimestre a una mujer embarazada. Atravesó la placenta y fue teratogénico (anencefalia, anoftalmia unilateral, microoftalmia y/o paladar hendido) en monos cinomolgos.",Antimicrobianos,agentes antivirales,,efavirenz
eflornitina,B3,,Medicamentos utilizados en Dermatología,Actual,,eflornitina
eformoterol (formoterol),B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,eformoterol (formoterol)
efraloctocog alfa (rhu),do,,Sistema cardiovascular,Agentes hemostáticos,,efraloctocog alfa (rhu)
eftrenonacog alfa (rhu),do,,Sistema cardiovascular,Agentes hemostáticos,,eftrenonacog alfa (rhu)
elbasvir/grazoprevir,B1,,Antimicrobianos,agentes antivirales,,elbasvir/grazoprevir
eletriptán,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,,eletriptan
eliglustat,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,eliglustat
elosulfasa alfa (rch),B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,elosulfasa alfa (rch)
elotuzumab,do,"Basándose en su farmacología, el tratamiento materno con elotuzumab puede tener efectos sobre las células inmunes fetales y la tolerancia materna.",Agentes antineoplásicos,anticuerpos monoclonales,,elotuzumab
elranatamab,do,"Según su mecanismo de acción, elranatamab puede causar daño fetal, incluyendo linfocitopenia de células B, cuando se administra a una mujer embarazada. La depleción de células B fetales supone un riesgo de infecciones oportunistas en el neonato. La liberación de citocinas inducida por elranatamab también puede suponer un riesgo de pérdida embriofetal.",Agentes antineoplásicos,anticuerpos monoclonales,,elranatamab
eltrombopag,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,eltrombopag
elvitegravir,B2,,Antimicrobianos,agentes antivirales,,elvitegravir
elvitegravir/cobicistat/emtricitabina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,,elvitegravir/cobicistat/emtricitabina/tenofovir alafenamida
emetina,A,,Sistema respiratorio,Expectorantes y mucolíticos,,emetina
emicizumab,B2,,Sistema cardiovascular,Agentes hemostáticos,,emicizumab
empagliflozina,D,Estudios en ratas han demostrado toxicidad para el riñón en desarrollo en el período correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,,empagliflozina
empagliflozina/linagliptina,D,Estudios con empagliflozina en ratas han demostrado toxicidad para el riñón en desarrollo en el período de tiempo correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,,empagliflozina/linagliptina
empagliflozina/metformina,D,Estudios con empagliflozina en ratas han demostrado toxicidad para el riñón en desarrollo en el período de tiempo correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,,empagliflozina/metformina
emtricitabina,B1,,Antimicrobianos,agentes antivirales,,emtricitabina
emtricitabina/ripilvirina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,,emtricitabina/ripilvirina/tenofovir alafenamida
emtricitabina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,,emtricitabina/tenofovir alafenamida
emtricitabina/fumarato de tenofovir disoproxil,B3,,Antimicrobianos,agentes antivirales,,emtricitabina/fumarato de tenofovir disoproxil
emtricitabina/fumarato de tenofovir disoproxil/rilpivirina,B3,,Antimicrobianos,agentes antivirales,,emtricitabina/fumarato de tenofovir disoproxil/rilpivirina
emtricitabina/tenofovir disoproxil maleato,B3,,Antimicrobianos,agentes antivirales,,emtricitabina/tenofovir disoproxil maleato
enalapril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA),enalapril
enasidenib,D,Enasidenib puede causar daño embriofetal cuando se administra a una mujer embarazada según hallazgos adversos en estudios con animales.,Agentes antineoplásicos,,,enasidenib
encorafenib,D,"Según los resultados de estudios en animales, encorafenib puede ser perjudicial para el feto. No debe administrarse encorafenib durante el embarazo a menos que los beneficios para la madre superen los riesgos para el feto. Si se utiliza encorafenib durante el embarazo o si la paciente queda embarazada mientras toma encorafenib, se le debe informar del posible riesgo para el feto.",Agentes antineoplásicos,,,encorafenib
enflurano,A,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,,enflurano
enfortumab vedotina,D," Según su mecanismo de acción y los hallazgos en animales, enfortumab vedotin puede causar daño fetal.",Agentes antineoplásicos,,,enfortumab vedotina
enfuvirtida,B2,,Antimicrobianos,agentes antivirales,,enfuvirtida
enoxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas,enoxacina
enoxaparina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,enoxaparina
entacapona,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,entacapona
entecavir,B3,,Antimicrobianos,agentes antivirales,,entecavir
entrectinib,D,"Según su mecanismo de acción y los hallazgos en estudios con animales, entrectinib puede causar malformaciones fetales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,entrectinib
enzalutamida,incógnita,"En un estudio de desarrollo embriofetal en ratones se observó teratogenicidad (paladar hendido, costilla cervical y disminución de la distancia anogenital) y letalidad embriofetal.",Agentes antineoplásicos,Agentes antineoplásicos hormonales,,enzalutamida
epcoritamab,do,"Según su mecanismo de acción, epcoritamab puede causar daño fetal, incluyendo linfocitopenia de células B, cuando se administra a una mujer embarazada. La depleción de células B fetales supone un riesgo de infecciones oportunistas en el neonato. La liberación de citocinas inducida por epcoritamab también puede suponer un riesgo de pérdida embriofetal.",Agentes antineoplásicos,anticuerpos monoclonales,,epcoritamab
efedrina,A,,Sistema cardiovascular,estimulantes adrenérgicos,,efedrina
efedrina,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,efedrina
epirrubicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,epirrubicina
eplerenona,B3,,Sistema cardiovascular,Diuréticos,,eplerenona
epoetina alfa,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,epoetina alfa
epoetina beta (rch),B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,epoetina beta (rch)
epoetina lambda (rch),B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,epoetina lambda (rch)
epoprostenol,B1,,Sistema cardiovascular,Vasodilatadores,,epoprostenol
eprosartán,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina,eprosartan
eptacog alfa (factor VII activado - rch),B1,,Sistema cardiovascular,Agentes hemostáticos,,eptacog alfa (factor VII activado - rch)
eptifibatida,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,eptifibatida
eptinezumab,B1,,Sistema nervioso central,,,eptinezumab
eptotermina alfa,D," La alteración de los niveles normales de proteínas morfogénicas óseas, incluida esta proteína en el embrión, puede alterar el curso normal de acción de estos agentes y posiblemente provocar una malformación fetal.",Sistema musculoesquelético,Agentes osteogénicos,,eptotermina alfa
erenumab,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,,erenumab
ergometrina,do,Este medicamento induce la contracción uterina y puede causar parto prematuro o hipertónico. Se deben evitar los productos que contienen ergometrina durante el embarazo.,Sistema genitourinario,Agentes que actúan sobre el útero,,ergometrina
ergotamina,do,"Las dosis orales estándar para la migraña durante la primera mitad del embarazo no parecen representar riesgos para el feto. La ergotamina induce la contracción uterina y, por lo tanto, puede causar parto prematuro o hipertonía. Dosis mayores o un uso más frecuente pueden poner en riesgo al feto debido a la posibilidad de obstaculizar el riego sanguíneo fetal.",Sistema cardiovascular,Preparaciones antimigrañosas,,ergotamina
eribulina,D,"La eribulina es embriotóxica, fetotóxica y teratogénica en ratas en dosis menores a la recomendada para humanos en función del área de superficie corporal.",Agentes antineoplásicos,,,eribulina
erlotinib,do,Este fármaco inhibe el EGFR. El EGFR desempeña un papel importante en el desarrollo embriofetal.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,erlotinib
ertapenem,B3,,Antimicrobianos,Antibióticos,,ertapenem
ácido piroglutámico de ertugliflozina,D,"Según los resultados de estudios en animales, la ertugliflozina puede afectar el desarrollo y la maduración renal. No se recomienda su uso durante el embarazo.",Sistema endocrino,agentes hipoglucemiantes,,acido piroglutamico de ertugliflozina
ácido piroglutámico de ertugliflozina; clorhidrato de metformina,D,"Según los resultados de estudios en animales, la ertugliflozina puede afectar el desarrollo y la maduración renal. No se han realizado estudios de desarrollo embriofetal en animales con la combinación de ertugliflozina y metformina. No se recomienda su uso durante el embarazo.",Sistema endocrino,agentes hipoglucemiantes,,acido piroglutamico de ertugliflozina; clorhidrato de metformina
ácido piroglutámico de ertugliflozina; fosfato de sitagliptina monohidrato,D,"Según los resultados de estudios en animales, ertugliflozina puede afectar el desarrollo y la maduración renal. No se han realizado estudios de desarrollo embriofetal en animales con ertugliflozina y sitagliptina en combinación. No se recomienda su uso durante el embarazo.",Sistema endocrino,agentes hipoglucemiantes,,acido piroglutamico de ertugliflozina; fosfato de sitagliptina monohidrato
eritromicina,A,,Antimicrobianos,Antibióticos,antibióticos macrólidos,eritromicina
eritropoyetina,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,eritropoyetina
escitalopram,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS),escitalopram
 esketamina,B3,,Sistema nervioso central,antidepresivos,, esketamina
acetato de eslicarbazepina,D,"Se han observado efectos embriofetales en animales, incluyendo aumentos en la pérdida pre y postimplantación, disminución del peso fetal, mayor incidencia de malformaciones y variaciones mayores y menores, a dosis subclínicas. Los efectos incluyen anomalías costales menores y mayores, paladar hendido, ausencia de arcos neurales torácicos y centros torácicos descentrados o hemicéntricos en ratones, cavitación pélvica renal, ausencia de vértebra caudal, retrasos en la osificación y paladar estriado.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,acetato de eslicarbazepina
esmolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,esmolol
esomeprazol,B3,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,esomeprazol
estetrol (como monohidrato),B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,estetrol (como monohidrato)
estradiol,B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,estradiol
estramustina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,,estramustina
estriol,B1,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,estriol
estropipato,B1,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,estropipato
ácido etacrínico,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa",acido etacrinico
etanercept,D, El etanercept atraviesa la placenta y se ha detectado en el suero de bebés nacidos de pacientes tratadas con etanercept. Los bebés pueden tener un mayor riesgo de infección.,Alergia y sistema inmunológico,Inmunomodificadores,,etanercept
etambutol,A,,Antimicrobianos,Antituberculosos y antilepróticos,,etambutol
etinilestradiol,B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,etinilestradiol
etosuximida,D,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,etosuximida
etidocaína,B1,,Medicamentos utilizados en anestesia,Anestésicos locales,,etidocaina
etidronato disódico,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,,etidronato disodico
etonogestrel,B3,,Agentes anticonceptivos,,,etonogestrel
etopósido,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,etoposido
etoricoxib,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,etoricoxib
